gid;tipo_elem;idelem;cod_cent;nombre;Xcoord;Ycoord
1206;495;4618;33035;Mauricio Legendre N-S - Josd Vasclncelos-AgustJn de Fox;-3,686782209;40,46947969
1207;495;4619;33036;Enrique Larreta S-N - Mateo Inurria-AgustAn de Foxe;-3,686427326;40,4676862
1208;495;4620;33037;Agust;-3,687641851;40,46778877
1209;495;4621;33038;Agust;-3,684568144;40,47123196
1210;495;4622;33039;Jos3 Vascencelos E-O - MANUEL FERRERO-Agust n de Foxe;-3,684367797;40,47016568
186;495;3591;33040;Agust;-3,685790916;40,46981647
2089;495;5521;61007;Caidos Divisixn E-O - Av.Pio XII-Comandante Franco;-3,672663908;40,46664869
2090;495;5522;61008;Caidos Divisixn E-O - Pl.Duque de Pastrana-Av.Pio XII;-3,67652679;40,46777714
2091;495;5523;61009;Mateo Inurria E-O - Hiedra-Rodrdguez Jaan;-3,68320657;40,46733158
2092;495;5524;61010;Mateo Inurria E-O - Manuel Ferrero-Enrique Larreta;-3,684669822;40,467035
2093;495;5525;61011;Mateo Inurria O-E - Enrique Larreta-Pl.Castilla;-3,687013166;40,46654237
2019;495;5450;60103;P0Castellana N-S(IncorporaciLn al lateral PiCastellana) - (Felix Boix-Rosario Pino);-3,690024351;40,46218737
2087;495;5519;61005;Caidos DivisiNn Azul O-E - Av.Pio XII-Comandante Franco;-3,673348138;40,46679164
2109;495;5541;61029;Av.Pio XII N-S - Comandante Franco-Jerez;-3,675683637;40,46496197
2113;495;5545;61033;Alberto Alcocer E-O - V.AndrFs Belaunde-Pa Habana(Giro E-S);-3,681120355;40,45859667
2117;495;5549;61037;(AFOROS)Principe de Vergara S-N - Colombia-Pl.Rep(blica Dominicana;-3,676863736;40,45748014
2121;495;5553;61041;Av.Pio XII S-N - Madreselva-Manuel  Montilla;-3,675738639;40,46430389
2131;495;5563;61052;Uruguay E-O - Chile-Pl.Repablica Ecuador;-3,676233658;40,4552306
2244;495;5676;62064;Bravo Murillo N-S - Pasaje Remonta-Azucenas;-3,696522071;40,46350291
2245;495;5677;62065;Infanta Mercedes S-N - Pedro Villar-San Felipe;-3,695306358;40,46183423
2246;495;5678;62066;Infanta Mercedes S-N - Sor Angela de la Cruz-Francisco Gervis;-3,696318501;40,46058332
3724;495;7111;62070;Sor Angela de la Cruz E-O - Capitan Haya-Orense;-3,693550447;40,45932873
2620;495;6053;46408;C/. Angelita Cavero - Angelita Cavero-Arturo Soria;-3,647808496;40,44623475
2621;495;6054;46409;C/. Marquis de Portugalete - General Aranaz-Arturo Soria;-3,646128815;40,44539456
2622;495;6055;46410;C/. Fernundez Caro - Agastia-Arturo Soria;-3,645436344;40,44454895
2623;495;6056;46411;C/. Arturo Soria - Fernandez Caro-Maroa Portugalete;-3,645355987;40,44470428
2628;495;6061;46416;C/. Agastia - Arturo Baldasano-JosM Silva;-3,658780463;40,45484359
2629;495;6062;47001;C/. Arturo Soria - Manuel Uribe-Asastro;-3,665687793;40,46569305
2593;495;6026;46019;C/. Emeterio Casta os - Mesena-Arturo Soria;-3,663289324;40,46228186
2631;495;6064;47003;C/. Arturo Soria  - Bausa-Cta. Sagrado Corazun;-3,666595925;40,46847359
2812;495;6245;55028;Av. Machupichu - Pl. Manuel Rodrigo-Silvano;-3,634742659;40,4613741
2813;495;6246;55029;C/. Peonias - Peonias- Pl. Yucatan;-3,625506463;40,45066467
2814;495;6247;55030;Av. Machupichu  - Av. Papa Negro-Av. Piceas;-3,62345867;40,45560411
2820;495;6253;55039;C/. Emigrantes  - Tribaldos-Arequipa;-3,637187432;40,46773027
1357;495;4771;24041;VILLAMANIN N-S(VILLASANDINO-NV);-3,753448876;40,40572244
3004;495;6438;65024;Av. Doctor GarcVa Tapia - Molina de Segura-Av. Moratalaz;-3,639450879;40,40939618
3009;495;6443;65032;C/. Hacienda de Pavones - Intercambiador-Fuente Carrantona;-3,635189975;40,40068344
3036;495;6470;66004;Suecia - Bucarest-Po. Ginebra;-3,604151704;40,42520561
3037;495;6471;66005;C/. Suecia - Suecia-P . Ginebra;-3,60402193;40,42417339
3039;495;6473;66007;Suecia - Francfort-PP. Ginebra;-3,605270869;40,4233402
